champion,kills,deaths,assists,totalMinionsKilled,goldEarned,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,visionScore,Cleanse,Exhaust,Flash,Ghost,Heal,Smite,Teleport,Clarity,Ignite,Barrier,To the King!,Poro Toss,Mark,Nexus Siege: Siege Weapon Slot,Nexus Siege: Siege Weapon Slot,Disabled Summoner Spells,Disabled Summoner Spells
Syndra,8.82388,7.91131,12.6489,170.873,14202.3,40.2402,25424.0,22005.9,18.3624,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AurelionSol,9.8759,11.0307,19.9463,136.932,16004.6,35.3468,26269.4,30853.4,11.2163,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayn,8.47305,7.40034,7.51352,56.0715,12907.9,14.8447,17783.1,31863.7,22.6567,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoe,6.58849,7.75642,8.46796,117.194,11621.4,37.0379,19986.5,18366.3,20.8669,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zyra,5.89644,7.81999,15.2014,51.2356,12469.9,41.7565,23123.7,17536.3,37.017,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gnar,6.28602,7.46195,9.53556,165.815,12759.3,38.3923,20350.4,29688.4,16.4061,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac,4.63567,6.32826,14.3033,42.5196,12037.1,39.5031,12311.5,37898.4,23.0623,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yasuo,7.50751,8.09018,6.23168,199.622,13654.1,23.9002,18854.4,23185.0,18.0647,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Velkoz,8.96825,8.03081,16.7889,90.3629,14304.9,33.8727,29200.2,19490.4,24.7447,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taliyah,7.37126,8.11108,11.8698,163.834,13523.6,23.7157,24414.4,21638.2,20.077,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camille,6.94363,7.98778,8.23842,138.089,12912.4,21.7338,17628.7,28681.5,17.2447,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braum,2.83053,6.78761,20.5359,38.2686,11167.7,40.0394,9391.34,25879.3,34.2165,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhin,9.32486,7.25509,11.3167,176.646,14903.7,21.6082,23658.4,19163.5,15.6319,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kindred,8.95032,8.31335,11.2456,55.6886,14090.2,8.09325,20990.5,28079.1,23.1588,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinx,11.8474,8.31404,14.8501,179.335,15585.3,20.3479,27844.4,23741.4,12.9382,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TahmKench,5.25455,6.7232,15.2571,73.0342,11962.1,31.8124,14445.2,30641.7,30.2104,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucian,8.89716,7.65032,9.73607,179.898,15279.9,3.05417,23248.1,24437.6,16.6381,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zed,10.001,6.94463,7.03917,173.996,13698.9,6.10764,21995.4,21219.6,20.0889,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kled,8.44019,7.33433,12.4975,148.745,13738.6,8.75314,20807.6,37305.4,14.8029,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekko,8.70123,7.72043,9.77005,148.6,13688.0,19.3594,21123.6,28634.4,16.7741,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vi,7.92211,7.83301,9.79465,45.6045,13210.6,25.2678,16157.9,27248.3,21.3645,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aatrox,7.97722,9.12855,11.34,110.766,14044.1,20.5294,18276.8,32850.2,12.9365,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nami,2.6166,5.89368,19.4115,16.9166,10973.3,28.9748,10109.7,17033.7,38.8394,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azir,8.79664,7.6831,9.88365,181.671,14472.1,17.3103,26016.9,21541.4,19.2985,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thresh,4.3516,7.5645,17.5074,35.8708,9639.09,34.2788,10318.6,22113.0,44.2684,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illaoi,6.64307,8.78252,9.15783,181.539,13905.1,4.91341,25961.5,36099.5,15.1738,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RekSai,7.06294,5.82495,9.43248,32.48,12837.3,22.8825,13796.7,29295.8,23.0386,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivern,3.88448,8.86063,23.7924,17.7373,13726.5,58.9597,12183.5,25323.1,18.6685,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalista,9.46305,8.16507,10.7387,186.317,15087.1,17.2808,22265.7,24092.7,15.9796,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bard,4.5597,7.74681,16.4223,33.501,11656.5,36.5401,14533.9,21587.5,40.5586,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakan,2.2948,6.11954,17.0094,18.5962,10620.1,31.6269,7255.93,18523.3,40.7802,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xayah,7.9899,6.75994,9.54474,193.624,14279.1,14.6365,22212.6,20189.9,16.0758,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ornn,4.7425,6.03037,10.3893,149.673,11804.3,46.9209,17196.3,26032.5,19.4891,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
